"Geographic code","Geographic name, english","Geographic name, french","Province / territory, english","Province / territory, french","Geographic code, Province / territory","Population, 2016","Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2011","2011 adjusted population flag","Population, % change","Total private dwellings, 2016","Total private dwellings, 2011","2011 adjusted total private dwellings flag","Total private dwellings, % change","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents, 2011","2011 adjusted private dwellings occupied by usual residents flag","Private dwellings occupied by usual residents, % change","Land area in square kilometres, 2016","Population density per square kilometre, 2016",
"59024","Prince George--Peace River--Northern Rockies","Prince George--Peace River--Northern Rockies","British Columbia","Colombie-Britannique",59,110995,F,107382,F,3.4,50844,47718,F,6.6,44272,42649,F,3.8,249618.70,0.4,
"59025","Richmond Centre","Richmond-Centre","British Columbia","Colombie-Britannique",59,98396,F,93863,F,4.8,39532,35487,F,11.4,37103,33898,F,9.5,43.23,2276.0,
"59026","Esquimalt--Saanich--Sooke","Esquimalt--Saanich--Sooke","British Columbia","Colombie-Britannique",59,120834,T,112969,T,7.0,53281,51064,T,4.3,50830,47819,T,6.3,328.79,367.5,
"59027","Saanich--Gulf Islands","Saanich--Gulf Islands","British Columbia","Colombie-Britannique",59,107339,F,104285,F,2.9,50773,49769,F,2.0,44963,43875,F,2.5,499.47,214.9,
"59028","Skeena--Bulkley Valley","Skeena--Bulkley Valley","British Columbia","Colombie-Britannique",59,88920,F,90586,F,-1.8,41620,41660,F,-0.1,35699,35804,F,-0.3,326290.40,0.3,
"59029","South Okanagan--West Kootenay","Okanagan-Sud--Kootenay-Ouest","British Columbia","Colombie-Britannique",59,114695,F,112096,F,2.3,60250,58725,F,2.6,52127,49997,F,4.3,17699.23,6.5,
"59030","South Surrey--White Rock","Surrey-Sud--White Rock","British Columbia","Colombie-Britannique",59,104051,F,94678,F,9.9,44781,40690,F,10.1,41917,38436,F,9.1,144.47,720.2,
"59031","Steveston--Richmond East","Steveston--Richmond-Est","British Columbia","Colombie-Britannique",59,99913,F,96610,F,3.4,37946,35683,F,6.3,36354,34078,F,6.7,86.03,1161.3,
"59032","Surrey Centre","Surrey-Centre","British Columbia","Colombie-Britannique",59,120172,F,111486,F,7.8,44202,41982,F,5.3,41054,38030,F,8.0,40.34,2978.8,
"59033","Surrey--Newton","Surrey--Newton","British Columbia","Colombie-Britannique",59,114605,F,105183,F,9.0,35942,33140,F,8.5,33667,30746,F,9.5,30.04,3815.4,
"59034","Vancouver Centre","Vancouver-Centre","British Columbia","Colombie-Britannique",59,116443,F,102480,F,13.6,77272,69915,F,10.5,70079,61943,F,13.1,11.13,10466.5,
"59035","Vancouver East","Vancouver-Est","British Columbia","Colombie-Britannique",59,115724,F,110097,F,5.1,58338,54262,F,7.5,54243,50141,F,8.2,21.53,5374.7,
"59036","Vancouver Granville","Vancouver Granville","British Columbia","Colombie-Britannique",59,103456,F,99886,F,3.6,51261,48731,F,5.2,48329,46196,F,4.6,22.39,4620.3,
"59037","North Island--Powell River","North Island--Powell River","British Columbia","Colombie-Britannique",59,105466,F,103525,T,1.9,52792,51114,T,3.3,46592,44808,T,4.0,53659.67,2.0,
"59038","Vancouver Kingsway","Vancouver Kingsway","British Columbia","Colombie-Britannique",59,104870,F,102003,F,2.8,42051,38325,F,9.7,38118,35713,F,6.7,15.30,6854.6,
"59039","Vancouver Quadra","Vancouver Quadra","British Columbia","Colombie-Britannique",59,105608,F,102416,F,3.1,50443,47129,F,7.0,44741,43429,F,3.0,40.34,2617.6,
"59040","Vancouver South","Vancouver-Sud","British Columbia","Colombie-Britannique",59,102927,F,100966,F,1.9,38857,34672,F,12.1,34993,32634,F,7.2,20.70,4973.4,
"59041","Victoria","Victoria","British Columbia","Colombie-Britannique",59,117133,F,110942,F,5.6,63476,63352,F,0.2,59163,56292,F,5.1,40.28,2907.9,
"59042","West Vancouver--Sunshine Coast--Sea to Sky Country","West Vancouver--Sunshine Coast--Sea to Sky Country","British Columbia","Colombie-Britannique",59,119113,F,112875,F,5.5,61419,58622,F,4.8,48843,46297,F,5.5,13008.19,9.2,
"60001","Yukon","Yukon","Yukon","Yukon",60,35874,F,33897,F,5.8,17987,16259,F,10.6,15215,14117,F,7.8,474712.68,0.1,
"61001","Northwest Territories","Territoires du Nord-Ouest","Northwest Territories","Territoires du Nord-Ouest",61,41786,F,41462,F,0.8,17666,17175,F,2.9,14981,14700,F,1.9,1143793.86,0.0,
"62001","Nunavut","Nunavut","Nunavut","Nunavut",62,35944,F,31906,F,12.7,11433,10077,F,13.5,9819,8661,F,13.4,1877778.53,0.0,

Note:
"Incompletely enumerated Indian reserves and Indian settlements, 2016","T = excludes census data for one or more incompletely enumerated Indian reserves or Indian settlements."
"2011 adjusted population flag","T = adjusted figure due to boundary change."
